State_County,Days_With_AQI,Good_Days,Moderate_Days,Unhealthy_For_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous Days
"Montana, Yellowstone",292,287,4,0,1,0,0
"Nebraska, Cass",348,348,0,0,0,0,0
"Nebraska, Douglas",365,318,47,0,0,0,0
"Nebraska, Hall",97,92,5,0,0,0,0
"Nebraska, Knox",355,342,13,0,0,0,0
"Nebraska, Lancaster",288,268,20,0,0,0,0
"Nebraska, Sarpy",350,298,52,0,0,0,0
"Nebraska, Scotts Bluff",113,110,3,0,0,0,0
"Nebraska, Thomas",109,106,3,0,0,0,0
"Nebraska, Washington",116,107,9,0,0,0,0
"Nevada, Carson City",365,308,57,0,0,0,0
"Nevada, Churchill",353,323,30,0,0,0,0
"Nevada, Clark",365,154,206,5,0,0,0
"Nevada, Douglas",356,346,10,0,0,0,0
"Nevada, Elko",365,363,2,0,0,0,0
"Nevada, Lyon",356,344,12,0,0,0,0
"Nevada, Nye",365,352,12,1,0,0,0
"Nevada, Washoe",365,244,121,0,0,0,0
"Nevada, White Pine",362,294,67,1,0,0,0
"New Hampshire, Belknap",316,308,8,0,0,0,0
"New Hampshire, Cheshire",365,348,17,0,0,0,0
"New Hampshire, Coos",324,314,10,0,0,0,0
"New Hampshire, Grafton",365,352,13,0,0,0,0
"New Hampshire, Hillsborough",365,353,12,0,0,0,0
"New Hampshire, Merrimack",210,206,4,0,0,0,0
"New Hampshire, Rockingham",365,343,21,1,0,0,0
"New Jersey, Atlantic",365,328,36,1,0,0,0
"New Jersey, Bergen",365,228,132,5,0,0,0
"New Jersey, Camden",365,240,120,5,0,0,0
"New Jersey, Cumberland",361,297,61,3,0,0,0
"New Jersey, Essex",365,265,100,0,0,0,0
"New Jersey, Gloucester",280,242,37,1,0,0,0
"New Jersey, Hudson",365,268,97,0,0,0,0
"New Jersey, Hunterdon",362,295,66,1,0,0,0
"New Jersey, Mercer",365,280,83,2,0,0,0
"New Jersey, Middlesex",362,285,74,3,0,0,0
"New Jersey, Monmouth",240,217,23,0,0,0,0
"New Jersey, Morris",364,336,28,0,0,0,0
"New Jersey, Ocean",349,291,56,2,0,0,0
"New Jersey, Passaic",277,242,34,1,0,0,0
"New Jersey, Union",365,258,107,0,0,0,0
"New Jersey, Warren",364,320,43,1,0,0,0
"New Mexico, Bernalillo",365,164,197,4,0,0,0
"New Mexico, Catron",111,111,0,0,0,0,0
"New Mexico, Chaves",118,117,1,0,0,0,0
"New Mexico, Dona Ana",365,170,171,17,3,2,2
"New Mexico, Eddy",365,212,134,17,2,0,0
"New Mexico, Lea",365,252,109,4,0,0,0
"New Mexico, Lincoln",107,107,0,0,0,0,0
"New Mexico, Los Alamos",117,117,0,0,0,0,0
"New Mexico, Luna",361,349,10,1,0,0,1
"New Mexico, Rio Arriba",358,315,43,0,0,0,0
"New Mexico, San Juan",365,208,157,0,0,0,0
"New Mexico, Sandoval",363,276,87,0,0,0,0
"New Mexico, Santa Fe",362,274,87,1,0,0,0
"New Mexico, Socorro",92,92,0,0,0,0,0
"New Mexico, Taos",358,334,24,0,0,0,0
"New Mexico, Valencia",357,270,87,0,0,0,0
"New York, Albany",365,322,43,0,0,0,0
"New York, Bronx",365,280,82,3,0,0,0
"New York, Chautauqua",343,315,27,1,0,0,0
"New York, Dutchess",331,319,12,0,0,0,0
"New York, Erie",365,310,55,0,0,0,0
"New York, Essex",364,331,33,0,0,0,0
"New York, Hamilton",323,321,2,0,0,0,0
"New York, Herkimer",185,185,0,0,0,0,0
"New York, Jefferson",205,198,7,0,0,0,0
"New York, Kings",365,335,30,0,0,0,0
"New York, Monroe",365,321,44,0,0,0,0
"New York, Nassau",360,341,19,0,0,0,0
"New York, New York",365,293,70,2,0,0,0
"New York, Niagara",352,339,13,0,0,0,0
"New York, Oneida",355,345,10,0,0,0,0
"New York, Onondaga",365,337,28,0,0,0,0
"New York, Orange",365,343,22,0,0,0,0
"New York, Oswego",321,316,5,0,0,0,0
"New York, Putnam",329,313,15,1,0,0,0
"New York, Queens",365,292,69,4,0,0,0
"New York, Richmond",365,314,51,0,0,0,0
"New York, Rockland",365,335,29,1,0,0,0
"New York, Saratoga",331,328,3,0,0,0,0
"New York, Steuben",365,349,16,0,0,0,0
"New York, Suffolk",365,300,56,9,0,0,0
"New York, Tompkins",356,349,7,0,0,0,0
"New York, Wayne",268,253,15,0,0,0,0
"New York, Westchester",365,330,34,1,0,0,0
"North Carolina, Alexander",305,274,31,0,0,0,0
"North Carolina, Avery",363,335,28,0,0,0,0
"North Carolina, Buncombe",365,328,37,0,0,0,0
"North Carolina, Caldwell",243,214,29,0,0,0,0
"North Carolina, Carteret",259,239,20,0,0,0,0
"North Carolina, Caswell",245,236,9,0,0,0,0
"North Carolina, Catawba",361,298,63,0,0,0,0
"North Carolina, Cumberland",363,282,81,0,0,0,0
"North Carolina, Davidson",350,272,78,0,0,0,0
"North Carolina, Durham",364,293,71,0,0,0,0
"North Carolina, Edgecombe",363,325,38,0,0,0,0
"North Carolina, Forsyth",365,236,129,0,0,0,0
"North Carolina, Graham",245,191,54,0,0,0,0
"North Carolina, Granville",240,195,45,0,0,0,0
"North Carolina, Guilford",365,293,72,0,0,0,0
"North Carolina, Haywood",276,211,65,0,0,0,0
"North Carolina, Hyde",102,100,2,0,0,0,0
"North Carolina, Jackson",103,100,3,0,0,0,0
"North Carolina, Johnston",363,294,69,0,0,0,0
"North Carolina, Lenoir",237,205,32,0,0,0,0
"North Carolina, Lincoln",243,178,65,0,0,0,0
"North Carolina, Macon",358,343,15,0,0,0,0
"North Carolina, Martin",295,261,34,0,0,0,0
"North Carolina, Mecklenburg",365,234,121,10,0,0,0
"North Carolina, Mitchell",333,325,8,0,0,0,0
"North Carolina, Montgomery",365,308,57,0,0,0,0
"North Carolina, New Hanover",348,319,29,0,0,0,0
"North Carolina, Northampton",153,138,15,0,0,0,0
"North Carolina, Person",244,200,44,0,0,0,0
"North Carolina, Pitt",352,308,44,0,0,0,0
"North Carolina, Rockingham",245,207,38,0,0,0,0
"North Carolina, Rowan",365,289,76,0,0,0,0
"North Carolina, Swain",362,323,39,0,0,0,0
"North Carolina, Union",235,175,57,3,0,0,0
"North Carolina, Wake",365,245,120,0,0,0,0
"North Carolina, Yancey",244,191,53,0,0,0,0
"North Dakota, Billings",365,354,11,0,0,0,0
"North Dakota, Burke",365,354,11,0,0,0,0
"North Dakota, Burleigh",365,331,34,0,0,0,0
"North Dakota, Cass",363,327,34,1,1,0,0
"North Dakota, Dunn",365,348,17,0,0,0,0
"North Dakota, McKenzie",365,353,12,0,0,0,0
"North Dakota, Mercer",365,341,24,0,0,0,0
"North Dakota, Oliver",365,339,26,0,0,0,0
"North Dakota, Ward",364,347,17,0,0,0,0
"North Dakota, Williams",362,343,19,0,0,0,0
"Ohio, Adams",327,323,4,0,0,0,0
"Ohio, Allen",332,271,61,0,0,0,0
"Ohio, Ashtabula",245,221,23,1,0,0,0
"Ohio, Athens",120,116,4,0,0,0,0
"Ohio, Belmont",365,349,16,0,0,0,0
"Ohio, Butler",364,263,99,2,0,0,0
"Ohio, Clark",362,217,143,2,0,0,0
"Ohio, Clermont",358,287,67,4,0,0,0
"Ohio, Clinton",244,203,41,0,0,0,0
"Ohio, Columbiana",62,62,0,0,0,0,0
"Ohio, Cuyahoga",365,188,173,4,0,0,0
"Ohio, Delaware",241,214,27,0,0,0,0
"Ohio, Fayette",355,332,23,0,0,0,0
"Ohio, Franklin",365,244,120,1,0,0,0
"Ohio, Geauga",230,189,39,2,0,0,0
"Ohio, Greene",243,213,30,0,0,0,0
"Ohio, Hamilton",365,162,197,6,0,0,0
"Ohio, Harrison",293,290,3,0,0,0,0
"Ohio, Jefferson",364,233,129,2,0,0,0
"Ohio, Knox",245,218,27,0,0,0,0
"Ohio, Lake",365,318,42,5,0,0,0
"Ohio, Lawrence",365,328,37,0,0,0,0
"Ohio, Licking",245,223,22,0,0,0,0
"Ohio, Lorain",362,313,49,0,0,0,0
"Ohio, Lucas",351,280,70,1,0,0,0
"Ohio, Madison",245,209,36,0,0,0,0
"Ohio, Mahoning",360,303,57,0,0,0,0
"Ohio, Medina",353,304,49,0,0,0,0
"Ohio, Miami",241,226,15,0,0,0,0
"Ohio, Montgomery",365,229,136,0,0,0,0
"Ohio, Noble",361,336,25,0,0,0,0
"Ohio, Portage",270,252,18,0,0,0,0
"Ohio, Preble",364,266,98,0,0,0,0
"Ohio, Scioto",365,358,7,0,0,0,0
"Ohio, Stark",365,226,139,0,0,0,0
"Ohio, Summit",363,277,83,3,0,0,0
"Ohio, Trumbull",362,295,67,0,0,0,0
"Ohio, Warren",360,284,73,3,0,0,0
"Ohio, Washington",245,219,26,0,0,0,0
"Ohio, Wood",244,225,19,0,0,0,0
"Oklahoma, Adair",365,338,27,0,0,0,0
"Oklahoma, Canadian",355,306,48,1,0,0,0
"Oklahoma, Carter",365,285,80,0,0,0,0
"Oklahoma, Choctaw",252,238,14,0,0,0,0
"Oklahoma, Cleveland",365,231,134,0,0,0,0
"Oklahoma, Comanche",365,285,80,0,0,0,0
"Oklahoma, Creek",356,331,24,1,0,0,0
"Oklahoma, Custer",236,235,1,0,0,0,0
"Oklahoma, Dewey",365,293,72,0,0,0,0
"Oklahoma, Grant",27,27,0,0,0,0,0
"Oklahoma, Johnston",141,128,13,0,0,0,0
"Oklahoma, Kay",365,292,72,1,0,0,0
"Oklahoma, Le Flore",38,35,3,0,0,0,0
"Oklahoma, Mayes",297,283,14,0,0,0,0
"Oklahoma, Muskogee",134,117,15,1,1,0,0
"Oklahoma, Nowata",365,287,77,1,0,0,0
"Oklahoma, Oklahoma",365,227,137,1,0,0,0
"Oklahoma, Osage",354,311,43,0,0,0,0
"Oklahoma, Ottawa",363,289,73,1,0,0,0
"Oklahoma, Pittsburg",365,272,91,2,0,0,0
"Oklahoma, Sequoyah",361,325,36,0,0,0,0
"Oklahoma, Tulsa",365,257,107,1,0,0,0
"Oregon, Baker",360,328,32,0,0,0,0
"Oregon, Benton",365,332,33,0,0,0,0
"Oregon, Clackamas",225,217,7,1,0,0,0
"Oregon, Columbia",363,355,8,0,0,0,0
"Oregon, Coos",107,106,1,0,0,0,0
"Oregon, Crook",365,296,68,1,0,0,0
"Oregon, Deschutes",365,341,19,4,1,0,0
"Oregon, Douglas",347,288,59,0,0,0,0
"Oregon, Grant",349,255,93,1,0,0,0
"Oregon, Harney",364,264,95,5,0,0,0
"Oregon, Jackson",365,295,63,3,4,0,0
"Oregon, Jefferson",365,291,72,2,0,0,0
"Oregon, Josephine",365,283,77,3,2,0,0
"Oregon, Klamath",365,261,98,6,0,0,0
"Oregon, Lake",363,311,51,1,0,0,0
"Oregon, Lane",365,254,103,8,0,0,0
"Oregon, Linn",365,280,83,2,0,0,0
"Oregon, Marion",356,302,54,0,0,0,0
"Oregon, Multnomah",365,321,44,0,0,0,0
"Oregon, Umatilla",365,296,68,1,0,0,0
"Oregon, Union",365,344,21,0,0,0,0
"Oregon, Wallowa",363,333,29,1,0,0,0
"Oregon, Wasco",350,298,52,0,0,0,0
"Oregon, Washington",365,310,54,1,0,0,0
"Pennsylvania, Adams",365,288,77,0,0,0,0
"Pennsylvania, Allegheny",365,146,208,7,4,0,0
"Pennsylvania, Armstrong",365,323,42,0,0,0,0
"Pennsylvania, Beaver",365,248,116,1,0,0,0
"Pennsylvania, Berks",365,279,80,5,1,0,0
"Pennsylvania, Blair",352,279,73,0,0,0,0
"Pennsylvania, Bradford",352,314,38,0,0,0,0
"Pennsylvania, Bucks",357,318,36,3,0,0,0
"Pennsylvania, Cambria",365,296,69,0,0,0,0
"Pennsylvania, Centre",365,267,98,0,0,0,0
"Pennsylvania, Chester",364,266,96,2,0,0,0
"Pennsylvania, Clearfield",359,357,2,0,0,0,0
"Pennsylvania, Cumberland",365,268,92,5,0,0,0
"Pennsylvania, Dauphin",365,286,75,3,1,0,0
"Pennsylvania, Delaware",365,240,118,7,0,0,0
"Pennsylvania, Elk",357,345,12,0,0,0,0
"Pennsylvania, Erie",364,322,42,0,0,0,0
"Pennsylvania, Fayette",360,313,47,0,0,0,0
"Pennsylvania, Franklin",341,324,17,0,0,0,0
"Pennsylvania, Greene",349,329,20,0,0,0,0
"Pennsylvania, Indiana",350,324,26,0,0,0,0
"Pennsylvania, Lackawanna",365,333,32,0,0,0,0
"Pennsylvania, Lancaster",365,238,117,9,1,0,0
"Pennsylvania, Lawrence",361,356,5,0,0,0,0
"Pennsylvania, Lebanon",360,278,78,4,0,0,0
"Pennsylvania, Lehigh",360,293,64,3,0,0,0
"Pennsylvania, Luzerne",361,350,11,0,0,0,0
"Pennsylvania, Lycoming",361,340,21,0,0,0,0
"Pennsylvania, Mercer",365,290,75,0,0,0,0
"Pennsylvania, Monroe",349,340,9,0,0,0,0
"Pennsylvania, Montgomery",362,302,59,1,0,0,0
"Pennsylvania, Northampton",363,286,74,3,0,0,0
"Pennsylvania, Philadelphia",365,244,115,6,0,0,0
"Pennsylvania, Somerset",359,340,19,0,0,0,0
"Pennsylvania, Susquehanna",352,328,24,0,0,0,0
"Pennsylvania, Tioga",361,342,19,0,0,0,0
"Pennsylvania, Washington",365,252,113,0,0,0,0
"Pennsylvania, Westmoreland",354,319,35,0,0,0,0
"Pennsylvania, Wyoming",27,19,8,0,0,0,0
"Pennsylvania, York",365,299,66,0,0,0,0
"Puerto Rico, Adjuntas",117,108,9,0,0,0,0
"Puerto Rico, Bayamon",278,264,14,0,0,0,0
"Puerto Rico, Caguas",354,334,16,4,0,0,0
"Puerto Rico, Catano",347,221,115,10,1,0,0
"Puerto Rico, Fajardo",119,104,15,0,0,0,0
"Puerto Rico, Guayama",2,2,0,0,0,0,0
"Puerto Rico, Guaynabo",362,325,33,4,0,0,0
"Puerto Rico, Mayagnez",202,159,43,0,0,0,0
"Puerto Rico, Ponce",351,247,98,6,0,0,0
"Puerto Rico, San Juan",277,277,0,0,0,0,0
"Rhode Island, Kent",351,328,23,0,0,0,0
"Rhode Island, Providence",365,298,67,0,0,0,0
"Rhode Island, Washington",352,322,28,2,0,0,0
"South Carolina, Aiken",265,230,35,0,0,0,0
"South Carolina, Anderson",225,175,49,1,0,0,0
"South Carolina, Berkeley",216,189,27,0,0,0,0
"South Carolina, Charleston",357,305,51,1,0,0,0
"South Carolina, Chesterfield",364,281,83,0,0,0,0
"South Carolina, Colleton",7,7,0,0,0,0,0
"South Carolina, Darlington",282,227,55,0,0,0,0
"South Carolina, Edgefield",365,299,66,0,0,0,0
"South Carolina, Florence",361,323,38,0,0,0,0
"South Carolina, Georgetown",92,91,1,0,0,0,0
"South Carolina, Greenville",365,237,127,1,0,0,0
"South Carolina, Horry",261,205,56,0,0,0,0
"South Carolina, Lexington",365,309,56,0,0,0,0
"South Carolina, Oconee",315,258,56,1,0,0,0
"South Carolina, Pickens",251,175,76,0,0,0,0
"South Carolina, Richland",365,282,81,2,0,0,0
"South Carolina, Spartanburg",357,249,106,2,0,0,0
"South Carolina, York",365,262,95,8,0,0,0
"South Dakota, Brookings",365,284,76,5,0,0,0
"South Dakota, Brown",122,112,10,0,0,0,0
"South Dakota, Codington",361,325,36,0,0,0,0
"South Dakota, Custer",362,355,7,0,0,0,0
"South Dakota, Hughes",356,350,6,0,0,0,0
"South Dakota, Jackson",365,349,16,0,0,0,0
"South Dakota, Meade",365,358,7,0,0,0,0
"South Dakota, Minnehaha",365,321,43,1,0,0,0
"South Dakota, Pennington",361,278,79,4,0,0,0
"South Dakota, Union",364,327,37,0,0,0,0
"Tennessee, Anderson",234,177,55,2,0,0,0
"Tennessee, Blount",365,305,59,1,0,0,0
"Tennessee, Claiborne",346,325,21,0,0,0,0
"Tennessee, Davidson",365,248,116,1,0,0,0
"Tennessee, DeKalb",363,335,28,0,0,0,0
"Tennessee, Dyer",360,341,19,0,0,0,0
"Tennessee, Hamilton",365,243,122,0,0,0,0
"Tennessee, Jefferson",234,197,37,0,0,0,0
"Tennessee, Knox",364,269,95,0,0,0,0
"Tennessee, Lawrence",330,306,24,0,0,0,0
"Tennessee, Loudon",365,313,52,0,0,0,0
"Tennessee, Madison",362,330,32,0,0,0,0
"Tennessee, Maury",362,352,10,0,0,0,0
"Tennessee, McMinn",357,316,41,0,0,0,0
"Tennessee, Montgomery",362,339,23,0,0,0,0
"Tennessee, Putnam",360,351,9,0,0,0,0
"Tennessee, Roane",356,338,18,0,0,0,0
"Tennessee, Sevier",364,287,77,0,0,0,0
"Tennessee, Shelby",365,239,122,4,0,0,0
"Tennessee, Sullivan",362,302,59,1,0,0,0
"Tennessee, Sumner",357,284,73,0,0,0,0
"Tennessee, Williamson",245,215,30,0,0,0,0
"Tennessee, Wilson",231,205,26,0,0,0,0
"Texas, Bell",365,284,79,2,0,0,0
"Texas, Bexar",365,196,163,5,1,0,0
"Texas, Bowie",349,254,94,1,0,0,0
"Texas, Brazoria",365,325,33,6,1,0,0
"Texas, Brewster",362,310,52,0,0,0,0
"Texas, Cameron",365,236,129,0,0,0,0
"Texas, Collin",365,309,48,7,1,0,0
"Texas, Culberson",176,158,16,2,0,0,0
"Texas, Dallas",365,227,132,6,0,0,0
"Texas, Denton",365,280,73,12,0,0,0
"Texas, Ector",354,319,35,0,0,0,0
"Texas, El Paso",365,147,205,11,2,0,0
"Texas, Ellis",365,300,65,0,0,0,0
"Texas, Galveston",362,290,64,8,0,0,0
"Texas, Gregg",362,328,33,1,0,0,0
"Texas, Harris",365,180,158,22,4,1,0
"Texas, Harrison",358,305,53,0,0,0,0
"Texas, Hidalgo",365,243,120,2,0,0,0
"Texas, Hood",357,325,31,1,0,0,0
"Texas, Hunt",364,345,19,0,0,0,0
"Texas, Jefferson",365,257,102,6,0,0,0
"Texas, Johnson",352,298,47,7,0,0,0
"Texas, Kaufman",365,320,45,0,0,0,0
"Texas, Kleberg",284,234,50,0,0,0,0
"Texas, Lubbock",330,316,13,1,0,0,0
"Texas, Maverick",339,287,51,1,0,0,0
"Texas, McLennan",365,329,36,0,0,0,0
"Texas, Montgomery",365,306,54,5,0,0,0
"Texas, Navarro",362,310,52,0,0,0,0
"Texas, Nueces",365,263,101,1,0,0,0
"Texas, Orange",365,301,64,0,0,0,0
"Texas, Parker",363,317,46,0,0,0,0
"Texas, Polk",344,334,10,0,0,0,0
"Texas, Potter",340,333,7,0,0,0,0
"Texas, Randall",354,280,72,2,0,0,0
"Texas, Rockwall",323,305,16,2,0,0,0
"Texas, Smith",364,326,37,1,0,0,0
"Texas, Tarrant",365,234,117,14,0,0,0
"Texas, Travis",365,249,114,2,0,0,0
"Texas, Victoria",341,319,22,0,0,0,0
"Texas, Webb",365,258,106,1,0,0,0
"Utah, Box Elder",364,313,49,2,0,0,0
"Utah, Cache",365,272,79,14,0,0,0
"Utah, Carbon",365,265,99,1,0,0,0
"Utah, Davis",365,265,94,6,0,0,0
"Utah, Duchesne",365,234,120,7,4,0,0
"Utah, Garfield",299,258,41,0,0,0,0
"Utah, Iron",365,329,36,0,0,0,0
"Utah, Salt Lake",365,172,177,16,0,0,0
"Utah, San Juan",362,299,63,0,0,0,0
"Utah, Tooele",365,302,61,2,0,0,0
"Utah, Uintah",365,223,125,12,4,1,0
"Utah, Utah",365,253,111,1,0,0,0
"Utah, Washington",365,291,74,0,0,0,0
"Utah, Wayne",109,109,0,0,0,0,0
"Utah, Weber",308,243,63,2,0,0,0
"Vermont, Bennington",365,345,20,0,0,0,0
"Vermont, Chittenden",365,335,30,0,0,0,0
"Vermont, Rutland",365,322,43,0,0,0,0
"Vermont, Windham",104,104,0,0,0,0,0
"Virgin Islands, St Croix",57,51,6,0,0,0,0
"Virgin Islands, St John",101,93,8,0,0,0,0
"Virgin Islands, St Thomas",268,225,43,0,0,0,0
"Virginia, Albemarle",282,264,18,0,0,0,0
"Virginia, Alexandria City",109,109,0,0,0,0,0
"Virginia, Arlington",365,305,59,1,0,0,0
"Virginia, Bristol City",117,113,4,0,0,0,0
"Virginia, Caroline",239,229,10,0,0,0,0
"Virginia, Carroll",61,61,0,0,0,0,0
"Virginia, Charles",356,337,19,0,0,0,0
"Virginia, Chesterfield",280,255,25,0,0,0,0
"Virginia, Fairfax",365,260,103,2,0,0,0
"Virginia, Fauquier",233,229,4,0,0,0,0
"Virginia, Frederick",365,333,32,0,0,0,0
"Virginia, Giles",344,315,29,0,0,0,0
"Virginia, Hampton City",364,326,38,0,0,0,0
"Virginia, Hanover",243,216,27,0,0,0,0
"Virginia, Henrico",363,329,34,0,0,0,0
"Virginia, Hopewell City",57,57,0,0,0,0,0
"Virginia, Loudoun",337,298,38,1,0,0,0
"Virginia, Lynchburg City",108,107,1,0,0,0,0
"Virginia, Madison",362,336,26,0,0,0,0
"Virginia, Norfolk City",364,357,7,0,0,0,0
"Virginia, Prince Edward",358,351,7,0,0,0,0
"Virginia, Prince William",364,347,17,0,0,0,0
"Virginia, Richmond City",362,311,51,0,0,0,0
"Virginia, Roanoke",365,329,36,0,0,0,0
"Virginia, Rockbridge",274,263,11,0,0,0,0
"Virginia, Rockingham",365,349,16,0,0,0,0
"Virginia, Salem City",118,113,5,0,0,0,0
"Virginia, Stafford",260,244,16,0,0,0,0
"Virginia, Suffolk City",245,223,22,0,0,0,0
"Virginia, Virginia Beach City",115,106,9,0,0,0,0
"Virginia, Winchester City",57,57,0,0,0,0,0
"Virginia, Wythe",242,232,10,0,0,0,0
"Washington, Adams",360,354,6,0,0,0,0
"Washington, Asotin",357,292,64,1,0,0,0
"Washington, Benton",364,303,61,0,0,0,0
"Washington, Chelan",365,298,66,1,0,0,0
"Washington, Clallam",365,341,24,0,0,0,0
"Washington, Clark",364,305,58,1,0,0,0
"Washington, Columbia",365,340,25,0,0,0,0
"Washington, Cowlitz",360,338,22,0,0,0,0
"Washington, Franklin",333,314,19,0,0,0,0
"Washington, Garfield",358,350,8,0,0,0,0
"Washington, Grant",365,339,26,0,0,0,0
"Washington, Grays Harbor",352,348,4,0,0,0,0
"Washington, Jefferson",365,364,1,0,0,0,0
"Washington, King",365,280,85,0,0,0,0
"Washington, Kitsap",340,338,2,0,0,0,0
"Washington, Kittitas",365,305,60,0,0,0,0
"Washington, Klickitat",365,339,26,0,0,0,0
"Washington, Lewis",365,343,22,0,0,0,0
"Washington, Mason",361,339,22,0,0,0,0
"Washington, Okanogan",365,260,105,0,0,0,0
"Washington, Pierce",365,285,78,2,0,0,0
"Washington, San Juan",112,112,0,0,0,0,0
"Washington, Skagit",365,361,4,0,0,0,0
"Washington, Snohomish",364,272,91,1,0,0,0
"Washington, Spokane",365,301,63,1,0,0,0
"Washington, Stevens",365,274,90,1,0,0,0
"Washington, Thurston",365,323,42,0,0,0,0
"Washington, Walla Walla",365,328,37,0,0,0,0
"Washington, Whatcom",363,355,8,0,0,0,0
"Washington, Whitman",365,354,11,0,0,0,0
"Washington, Yakima",365,227,128,10,0,0,0
"West Virginia, Berkeley",278,252,24,2,0,0,0
"West Virginia, Brooke",360,327,32,1,0,0,0
"West Virginia, Cabell",275,255,20,0,0,0,0
"West Virginia, Gilmer",336,333,3,0,0,0,0
"West Virginia, Greenbrier",242,222,20,0,0,0,0
"West Virginia, Hancock",303,271,32,0,0,0,0
"West Virginia, Harrison",111,101,10,0,0,0,0
"West Virginia, Kanawha",365,314,51,0,0,0,0
"West Virginia, Marion",99,87,12,0,0,0,0
"West Virginia, Marshall",118,90,28,0,0,0,0
"West Virginia, Monongalia",277,250,27,0,0,0,0
"West Virginia, Ohio",283,249,34,0,0,0,0
"West Virginia, Tucker",362,349,13,0,0,0,0
"West Virginia, Wood",277,246,31,0,0,0,0
"Wisconsin, Ashland",364,343,21,0,0,0,0
"Wisconsin, Brown",361,310,51,0,0,0,0
"Wisconsin, Columbia",192,184,8,0,0,0,0
"Wisconsin, Dane",365,287,78,0,0,0,0
"Wisconsin, Dodge",365,297,67,1,0,0,0
"Wisconsin, Door",201,191,9,1,0,0,0
"Wisconsin, Eau Claire",363,305,58,0,0,0,0
"Wisconsin, Fond du Lac",202,195,7,0,0,0,0
"Wisconsin, Forest",363,338,25,0,0,0,0
"Wisconsin, Grant",365,304,60,1,0,0,0
"Wisconsin, Jefferson",203,191,12,0,0,0,0
"Wisconsin, Kenosha",365,289,74,2,0,0,0
"Wisconsin, Kewaunee",210,199,11,0,0,0,0
"Wisconsin, La Crosse",365,310,55,0,0,0,0
"Wisconsin, Manitowoc",202,187,15,0,0,0,0
"Wisconsin, Marathon",205,196,9,0,0,0,0
"Wisconsin, Milwaukee",365,269,93,3,0,0,0
"Wisconsin, Outagamie",365,307,56,2,0,0,0
"Wisconsin, Ozaukee",363,308,52,3,0,0,0
"Wisconsin, Racine",203,174,28,1,0,0,0
"Wisconsin, Rock",203,185,18,0,0,0,0
"Wisconsin, Sauk",365,311,53,1,0,0,0
"Wisconsin, Sheboygan",206,180,24,2,0,0,0
"Wisconsin, Taylor",365,320,45,0,0,0,0
"Wisconsin, Vilas",362,345,17,0,0,0,0
"Wisconsin, Walworth",205,189,15,1,0,0,0
"Wisconsin, Waukesha",365,281,83,1,0,0,0
"Wyoming, Albany",365,247,118,0,0,0,0
"Wyoming, Big Horn",356,344,12,0,0,0,0
"Wyoming, Campbell",365,309,55,1,0,0,0
"Wyoming, Carbon",364,325,38,1,0,0,0
"Wyoming, Converse",365,317,47,1,0,0,0
"Wyoming, Fremont",365,301,63,1,0,0,0
"Wyoming, Johnson",364,345,19,0,0,0,0
"Wyoming, Laramie",365,305,60,0,0,0,0
"Wyoming, Lincoln",365,364,1,0,0,0,0
"Wyoming, Natrona",364,329,35,0,0,0,0
"Wyoming, Park",307,295,12,0,0,0,0
"Wyoming, Platte",60,56,3,1,0,0,0
"Wyoming, Sheridan",365,325,40,0,0,0,0
"Wyoming, Sublette",365,266,88,8,3,0,0
"Wyoming, Sweetwater",365,262,100,3,0,0,0
"Wyoming, Teton",365,326,39,0,0,0,0
"Wyoming, Uinta",365,315,49,1,0,0,0
"Wyoming, Weston",360,335,25,0,0,0,0
